fips,intensity
21,0.5
39,0.5
45,0.5
55,0.5
79,0.5
81,0.5
103,0.5
129,0.5
131,0.5
133,0.5
137,0.5
147,0.5
177,0.5
183,0.5
47,1.5
87,1.5
89,1.5
99,1.5
143,0.5
161,1.5
167,1.5
171,1.5
11,1.5
17,1.5
31,1.5
43,1.5
53,1.5
97,1.5
123,1.5
181,1.5
1,2.5
5,2.5
19,2.5
59,2.5
101,2.5
109,2.5
3,2.5
145,2.5
189,2.5
51,2.5
107,2.5
63,2.5
105,2.5
179,2.5
155,2.5
119,3.5
73,3.5
113,3.5
141,3.5
125,3.5
13,3.5
9,3.5
149,3.5
165,3.5
65,4.5
163,4.5
187,5.5
93,5.5
157,6.5
37,7.5
