fips,intensity
47021,0.5
47039,0.5
47045,0.5
47055,0.5
47079,0.5
47081,0.5
47103,0.5
47129,0.5
47131,0.5
47133,0.5
47137,0.5
47147,0.5
47177,0.5
47183,0.5
47047,1.5
47087,1.5
47089,1.5
47099,1.5
47143,0.5
47161,1.5
47167,1.5
47171,1.5
47011,1.5
47017,1.5
47031,1.5
47043,1.5
47053,1.5
47097,1.5
47123,1.5
47181,1.5
47001,2.5
47005,2.5
47019,2.5
47059,2.5
47101,2.5
47109,2.5
47003,2.5
47145,2.5
47189,2.5
47051,2.5
47107,2.5
47063,2.5
47105,2.5
47179,2.5
47155,2.5
47119,3.5
47073,3.5
47113,3.5
47141,3.5
47125,3.5
47013,3.5
47009,3.5
47149,3.5
47165,3.5
47065,4.5
47163,4.5
47187,5.5
47093,5.5
47157,6.5
47037,7.5
